,num_variables,activation_function,absorption_criterion,ascent_stop_criterion,stopping_criterion_type,step_type,max_iterations,direction_type,initial_ascent_type,gamma,theta,f_value,binary,t_hmip,t_cplex,f_cplex,t_cplex_relax,f_cplex_relax
122,500,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-835.8312435041553,15.960519956075078,0.41594808793161064,0.2710896439384669,-3179.8788405596824,0.3608341020299122,-3179.989229195291
123,500,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,2682.8911780731123,12.82503270523917,0.42610973899718374,0.2826568720629439,-241.95158548244623,0.3882949970429763,-242.00630725441127
124,500,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,666.8278785042957,13.928304731161383,0.40631711191963404,0.25228720100130886,-1592.4309656237456,0.39410348795354366,-1592.5076380524508
125,500,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,1314.9127085132225,16.308721334082623,0.42920069105457515,0.2558619149494916,-989.3837681392367,0.38047999306581914,-989.507655628073
126,500,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,1513.2788586572299,11.972877684209795,0.41056207101792097,0.27755400899332017,-865.1619845490138,0.38104749796912074,-865.274754367083
127,500,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,3427.6367107841156,12.153690764045798,0.41361407400108874,0.25932617799844593,-152.75371220538736,0.3768113299738616,-152.7923587877734
128,500,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,3301.8547083932913,10.289543979732784,0.4045990500599146,0.2841485149692744,-176.64765125731975,0.3720201140968129,-176.64765094877055
129,500,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,2387.3381313661416,13.695826777940825,0.42166249197907746,0.27910465199965984,-393.39922589487776,0.3826327259885147,-393.4109816423325
130,1000,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-5226.317208206642,18.59221450785877,0.6880052980268374,0.9257395890308544,-17137.835767820598,1.5247511899797246,-17138.317600919952
131,1000,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,2113.8118720694647,28.077603564208992,0.6864572069607675,0.9292098329169676,-3449.025124027859,1.5409721640171483,-3449.1248903084343
132,1000,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,7376.185313650189,25.251574878592102,0.7008662630105391,0.8909312159521505,-1012.9670847593986,1.56056295405142,-1013.0171841429138
133,1000,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-2218.911689714297,24.46212406018115,0.6843671899987385,0.8900266620330513,-9775.885328204718,1.5273819499416277,-9776.684925025782
134,1000,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,5909.505696519629,27.920077832198977,0.7133012880804017,0.8717255899682641,-1330.9612660446974,1.5271984009305015,-1331.067295830771
135,1000,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-734.951338341921,27.246198055789314,0.7419517090311274,0.8121022129198536,-7771.862315202461,1.5203109770081937,-7771.922647782593
136,1000,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-3222.532469056537,25.102676575185402,0.7077233259333298,0.903474280028604,-12045.077641354997,1.5571355739375576,-12045.251361820932
